"2 Chainz And Drake-","No Lie (Clean)"
"Aguilar, Pepe","El Autobus"
"Aguilar, Pepe","El Autobus"
"Aguilar, Pepe","El Toro Serrano"
"Aguilar, Pepe","El Zacatecano"
"Aguilar, Pepe","Me Esta Llorando El Corazon"
"Aguilar, Pepe","Me Estoy Acostumbrando A Ti"
"Aguilar, Pepe","Me Falta Valor"
"Aguilar, Pepe","Me Vas A Extranar"
"Aguilar, Pepe","Mi Destino Fue Quererte"
"Aguilar, Pepe","Miedo"
"Aguilar, Pepe","Nomas Tantito"
"Aguilar, Pepe","Perdoname"
"Aguilar, Pepe","Por Mujeres Como Tu"
"Aguilar, Pepe","Por Mujeres Como Tu"
"Aguilar, Pepe","Por Una Mujer Bonita"
"Aguilar, Pepe","Por Unas Moneda"
"Aguilar, Pepe","Que Seas Feliz"
"Aguilar, Pepe","Quien Entiende A Las Mujeres"
"Aguilar, Pepe","Recuerdame Bonito"
"Aguilar, Pepe","Todo Se Derrumbo"
"Aguilar, Pepe Y Tiziano Ferro","Mi Credo"
"Aguilera, Christina","Beautiful"
"Aguilera, Christina","Falsas Esperanzas"
"Aguilera, Christina","Pero Me Acuerdo De Ti"
"Aguilera, Christina & Lil' Kim & Mya & Pink & Missy Elliot","Lady Marmalade"
"Aguilera, Christina & Luis Fonsi","Si No Te Hubiera Conocido"
"Agusto, Jose","Semaforo Rojo"
"Aida Cuevas","El Pastor"
"Alacranes","Si Me Recuerdas"
"Alacranes Musical","A Cambio De Que"
"Alacranes Musical","Por Amarte Si"
"Alacranes Musical","Se Acabaron Las Caricias"
"Alacranes Musical","Solo Los Tontos"
"Alanis Morissette","Empathy"
"Alanis Morissette","Empathy (MPX)"
"Alanis Morissette","Guardian"
"Alanis Morissette","Guardian (MPX)"
"Alanis Morissette","Til You"
"Alanis Morissette","Til You (MPX)"
"Alanis Morissette","Woman Down"
"Alanis Morissette","Woman Down (MPX)"
"Alaska","Ni Tu Ni Nadie"
"Albert Zamora","Prieta casada"
"Albert Zamora","Quien Mas Te Adora"
"alberto vazquez","16 toneladas"
"Alberto Vazquez","El Pecador"
"Alebrijes Y Rebujos","Alegrijes Y Rebujos"
"Alebrijes Y Rebujos","El Baile Del Mago"
"Alegres De La Sierra, Los","Alegre Me Ando Paseando"
"Alegres De La Sierra, Los","Asi Como Hoy"
"Alegres De La Sierra, Los","Cada Quien"
"Alegres De La Sierra, Los","De Rodillas Te Pido"
"Alegres De La Sierra, Los","Duele El Amor"
"Alegres De La Sierra, Los","El Necio"
"Alegres De La Sierra, Los","Lloraras"
"Alegres De La Sierra, Los","Me Voy A Cortar Las Venas"
"Alegres De La Sierra, Los","Quejas De Mi Alma"
"Alegres De La Sierra, Los","Si Volviera A Nacer"
"Alegres De La Sierra, Los","Somos Ajenos"
"Alegres De La Sierra, Los","Suerte He Tenido"
"Alegres De La Sierra, Los","Te Quiero Porque Te Quiero"
"Alegres de Teran","Moneda sin valor"
"Alegres de Teran","Tu nuevo cariñito"
"Alegres de Teran","Veinte años"
"Alegres De Teran, Los","Aborrezco"
"Alegres De Teran, Los","Alma enamorada"
"Alegres De Teran, Los","Entre copa y copa"
"Alegres De Teran, Los","Flor del rio"
"Alegres De Teran, Los","La carcel de Cananea"
"Alegres De Teran, Los","La muerte de Juan Bedolla"
"Alegres De Teran, Los","Los ojos de Pancha"
"Alegres De Teran, Los","Maquina 501"
"Alegres De Teran, Los","Por una mujer casada"
"Alegres De Teran, Los","Prisionero de tus brazos"
"Alegres De Teran, Los","Que sacrificio"
"Alegres De Teran, Los","Simon Blanco"
"Alegres De Teran, Los","Tres viudas solas"
"Alegres De Teran, Los","Tu nuevo carinito"
"Alegres De Teran, Los","Veinte anos"
"Alejandor Sanz","Si Hay Dios"
"Alejandra Guzman","Solo soy un secreto"
"Alejandro","Abrazame"
"Alejandro","Como El Sol Y El Trigo"
"Alejandro","Dentro De Mi Corazon"
"Alejandro","Donde Vas Tan Sola"
"Alejandro","La Mitad Que Faltaba"
"Alejandro","Nadie, Simplemente Nadie"
"Alejandro","No Se Olvidar"
"Alejandro","Si Tu No Vuelves"
"Alejandro","Tantita Pena"
"Alejandro","Todo"
"Alejandro","Tu Regresaras"
"Alejandro","Yo Naci Para Amarte"
"Alejandro Abaroa","Complices Al Rescate"
"Alejandro Fernandez","Si tu supieras"
"Alejandro Fernandez","Tu sabes quien"
"Alejandro Fernandez","Tu sabes quien"
"Alejandro Sanz","Amiga mía"
"Alejandro Sanz","Corazón partío"
"Alejandro Sanz","Cuando nadie me ve"
"Alejandro Sanz","Eres mía"
"Alejandro Sanz","La fuerza del corazón"
"Alejandro Sanz","Lola soledad"
"Alejandro Sanz","Lola soledad"
"Alejandro Sanz","Los dos cogidos de la mano"
"Alejandro Sanz","Mi soledad y yo"
"Alejandro Sanz","No me compares"
"Alejandro Sanz","Pisando fuerte"
"Alejandro Sanz","Quiero morir en tu veneno"
"Alejandro Sanz","Quisiera ser"
"Alejandro Sanz","Si tú me miras"
"Alejandro Sanz","Siempre es de noche"
"Aleks Syntek","Historias de danzón y de arrabal"
"Aleks Syntek","Por volverte a ver"
"Aleks Syntek","Sin motor"
"Aleks Syntek","Sin motor"
"Aleks Syntek","Te soñé"
"Alex Boyd","I Wish I Knew"
"Alex Boyd","I Wish I Knew (MPX)"
"Alex Day","Forever Yours"
"Alex Day","Forever Yours (MPX)"
"Alex Ubago","A Gritos De Esperanza"
"Alex Ubago","Aunque no te pueda ver"
"Alex Ubago","Dame Tu Aire"
"Alex, Jorge y Lena","La canci¢n del pescado (Esta noche hay fiesta)"
"Alex, Jorge y Lena","La canci¢n del pescado (Esta noche hay fiesta)"
"Alexander Acha","Amiga"
"Alexander Acha","Amiga"
"Alexandra Stan","Mr Saxobeat"
"Alexandre Pires","Necesidad"
"Alexis, Fido & Baby Banks","El Tiburon"
"Alfredito Olivas","Asi es esto"
"Alfredito Olivas","Con la novedad"
"Alfredito Olivas","El chico problema"
"Alfredito Olivas","El comando x"
"Alfredito Olivas","El patroncito"
"Alfredito Olivas","El precio de la soledad"
"Alfredito Olivas","El principio del infierno"
"Alfredito Olivas","Herencia mexicana"
"Alfredito Olivas","Las vacaciones del jefe"
"Alfredito Olivas","Soy de alto mando"
"Alfredito Olivas","Tres tiros"
"Alfredito Olivas","Villana del cuento"
"Alicia Villarreal","No, oh, oh (La suegra)"
"Alicia Villarreal","Te quedo grande la yegua"
"All American Rejects, The","Someday's Gone"
"All American Rejects, The","Someday's Gone (MPX)"
"All Time Low","Backseat Serenade"
"All Time Low","Backseat Serenade (MPX)"
"All Time Low","If These Sheets Were States"
"All Time Low","If These Sheets Were States (MPX)"
"All Time Low","Somewhere In Neverland"
"All Time Low","Somewhere In Neverland (MPX)"
"All Time Low","The Irony Of Choking On A Lifesaver"
"All Time Low","The Irony Of Choking On A Lifesaver (MPX)"
"All-American Rejects, The","Heartbeat Slowing Down"
"All-American Rejects, The","Heartbeat Slowing Down (MPX)"
"Allison","Aqui"
"Allison","Fragil"
"Alpha Rev","Sing Loud"
"Alpha Rev","Sing Loud (MPX)"
"Amalia Mendoza","Amarga navidad"
"Amalia Mendoza","Amarga navidad"
"Amalia Mendoza","echame a mi la culpa"
"Amalia Mendoza","echame a mi la culpa"
"Amalia Mendoza","Fallaste, coraz¢n"
"Amalia Mendoza","Fallaste, coraz¢n"
"Amalia Mendoza","Gritenme piedras del campo"
"Amalia Mendoza","Gritenme piedras del campo"
"Amalia Mendoza","Juan colorado"
"Amalia Mendoza","Juan colorado"
"Amalia Mendoza","La mariquita"
"Amalia Mendoza","La mariquita"
"Amalia Mendoza","La primera caricia"
"Amalia Mendoza","La primera caricia"
"Amalia Mendoza","Pa' que me sirve la vida"
"Amalia Mendoza","Pa' que me sirve la vida"
"Amalia Mendoza","Pa' que sientas lo que siento"
"Amalia Mendoza","Pa' que sientas lo que siento"
"Amalia Mendoza","Puñalada trapera"
"Amalia Mendoza","Puñalada trapera"
"Amalia Mendoza","Una sola caida"
"Amalia Mendoza","Una sola caida"
"Amalia Mendoza","Y ya"
"Amalia Mendoza","Y ya"
"Amanda Miguel","A mi Amiga"
"Amanda Miguel","Asi no te amara jamas"
"Amanda Miguel","Asi no te amara jamas."
"Amanda Miguel","Como un titere"
"Amanda Miguel","Como un titere."
"Amanda Miguel","Cosquillas en el pecho"
"Amanda Miguel","Cosquillas en el pecho."
"Amanda Miguel","Dudas"
"Amanda Miguel","El me mintio"
"Amanda Miguel","El rostro del amor"
"Amanda Miguel","Hagamos un trato"
"Amanda Miguel","Igual que un avion"
"Amanda Miguel","Igual que un avion."
"Amanda Miguel","Mi buen coraz¢n"
"Amanda Miguel","Mi buen corazon"
"Amanda Miguel","Quien sera"
"Amanda Miguel","Quien sera."
"Amanda Miguel","Quiero un amor total"
"Amanda Miguel","Quiero un amor total."
"Amandititita","Metrosexual"
"Amaral","Dias De Verano"
"Amaral Y Chetes","Si Tu No Vuelves"
"Amor de Habitacion","Napoleon"
"Amor, El","Jose Luis Perales"
"Ana Barbara","Bandido"
"Ana Barbara","La Trampa"
"Ana Barbara","Loca"
"Ana Barbara","Me asusta pero me gusta"
"Ana Barbara & Rayli","Ahora Tengo"
"Ana Barbara & Rayli","Ahora Tengo"
"Ana Gabriel","Algo"
"Ana Gabriel","Amor"
"Ana Gabriel","Amor Con Desamor"
"Ana Gabriel","Destino"
"Ana Gabriel","En La Obscuridad"
"Ana Gabriel","Es El Amor Quien llega"
"Ana Gabriel","Luna"
"Ana Gabriel","Mar Y Arena"
"Ana Gabriel","Pensar En ti"
"Ana Gabriel","Rayando El Sol"
"Ana Gabriel","Simplemente Amigos"
"Ana Gabriel","Soledad"
"Ana Victoria","La sombra de este amor"
"Anahi","Alergico"
"Anahi","Alergico"
"Andres Calamaro","Loco"
"Andy Grammar","Fine By Me"
"Andy Grammar","Fine By Me (MPX)"
"Angel & Khriz","Ven Bailalo"
"Angel, Luis","Lloraras"
"Angela Carrasco","Si tu eres mi hombre"
"Angeles De Charly, Los","Amor secreto"
"Angeles De Charly, Los","Busquenla"
"Angeles De Charly, Los","Mentias"
"Angeles Negros","A Tu Recuerdo"
"Angeles Negros","Debut Y Despedida"
"Angeles Negros, Los","A la mujer que tanto ame"
"Angeles Negros, Los","Amar Y Vivir"
"Angeles Negros, Los","Ayer Preguntaron Por Ti"
"Angeles Negros, Los","Como Quisiera Decirte"
"Angeles Negros, Los","Despacito"
"Angeles Negros, Los","Murio La Flor"
"Angeles Negros, Los","Pasion Y Vida"
"Angeles Negros, Los","Serenata Sin Luna"
"Angeles Negros, Los","Si Conmigo Tu No Estas"
"Angeles Negros, Los","Si Las Flores Pudieran Hablar"
"Angeles Negros, Los","Tu Me Acostumbraste"
"Angeles Negros, Los","Vete En Silencio"
"Angeles Negros, Los","Y Volvere"
"Angelica Maria","Tu Sigues Siendo El  Mismo"
"Angels","La Duena De Mi Vida"
"Aniceto","El Campanero"
"Anita Baker","Lately"
"Anita Baker","Lately (MPX)"
"Anthony Hamilton","Best Of Me"
"Anthony Hamilton","Best Of Me (MPX)"
"Anthony Hamilton","Writing On The Wall"
"Anthony Hamilton","Writing On The Wall (MPX)"
"Anthony Romeo Santos feat. Mario Domm","Rival"
"Anthony, Marc","Ahora Quien"
"Anthony, Marc","Ahora Quien"
"Anthony, Marc","Ahora Quien (salsa)"
"Anthony, Marc","Ahora Quien-tono Mujer"
"Anthony, Marc","Preciosa"
"Anthony, Marc","Te Quiero"
"Antoine Dunn","Miss My Love"
"Antoine Dunn","Miss My Love (MPX)"
"Antonio Orozco Ft. Luis Fonsi","Ya lo Sabes"
"Antonio Orozco Ft. Luis Fonsi","Ya lo Sabes"
"Antonio, Lorenzo","Vamos A Jugar"
"Apson, Los","Popeye"
"Apuesta, La","Por Ti"
"Arambula, Araceli","Sexy"
"Arauza, Chon","Amor Carnal"
"Arctic Monkeys","Fluorescent Adolescent"
"Arctic Monkeys","I Bet You Look Good On The Dancefloor"
"Arjona","Acompaname A Estar Solo"
"Arjona","Dime que no"
"Arjona","El problema"
"Arjona","Pinguinos En La Cama"
"Arjona & Intocable","Mojado"
"Arjona a duo con Gaby Moreno","Fuiste tu"
"Arjona, Ricardo","A Ti"
"Arjona, Ricardo","Animal Nocturno"
"Arjona, Ricardo","Desnuda"
"Arjona, Ricardo","Dime Que No"
"Arjona, Ricardo","El Problema"
"Arjona, Ricardo","Historia De Un Taxi"
"Arjona, Ricardo","Jesus Es Verbo, No Sustantivo (normal)"
"Arjona, Ricardo","Jesus Es Verbo, No Sustantivo (Version Corta)"
"Arjona, Ricardo","La Mujer Que No Sone"
"Arjona, Ricardo","Minutos"
"Arjona, Ricardo","Minutos"
"Arjona, Ricardo","Primera Vez"
"Arjona, Ricardo","Queien Diria"
"Arjona, Ricardo","Quien"
"Arjona, Ricardo","Realmente No Estoy Tan Solo"
"Arjona, Ricardo","Se Nos Muere El Amor"
"Arjona, Ricardo","Senora De Las Cuatro Decadas"
"Arjona, Ricardo","Senora De Las Cuatro Decadas"
"Arjona, Ricardo","Si El Norte Fuera El Sur"
"Arjona, Ricardo","Te Conozco"
"Arjona, Ricardo & Ednita Nazario","Porque Hablamos"
"Arnulfo Jr.","De Nina A Mujer"
"Arnulfo Jr.","Por Amor A Ti"
"Arnulfo Jr.","Por Tu Pobreza"
"Aroma","Amor De Tres"
"Aroma","Corazon Mentiroso"
"Arrolladora Banda El Limon","La llamada de mi ex"
"Arrolladora Banda El Limon, La","Antes De Partir"
"Arrolladora Banda El Limon, La","Asi Fue"
"Arrolladora Banda El Limon, La","Cabecita dura"
"Arrolladora Banda El Limon, La","Catorce Anos, Nueve Meses"
"Arrolladora Banda El Limon, La","Cuentame"
"Arrolladora Banda El Limon, La","De Ti Exclusivo"
"Arrolladora Banda El Limon, La","El Rengo"
"Arrolladora Banda El Limon, La","En Los Puritos Huesos"
"Arrolladora Banda El Limon, La","Huele A Peligro"
"Arrolladora Banda El Limon, La","La Suata"
"Arrolladora Banda El Limon, La","Los Tres Pelones"
"Arrolladora Banda El Limon, La","Medio Tiempo"
"Arrolladora Banda El Limon, La","Mi Media Naranja"
"Arrolladora Banda El Limon, La","Mirame"
"Arrolladora Banda El Limon, La","Mis Recuerdos"
"Arrolladora Banda El Limon, La","Pepito Y Su Caballo"
"Arrolladora Banda El Limon, La","Redondito En Tus Brazos"
"Arrolladora Banda El Limon, La","Secretos De Mi Memoria"
"Arrolladora Banda El Limon, La","Si Tu Amor No Vuelve"
"Arrolladora Banda El Limon, La","Sobre Mis Pies"
"Arrolladora Banda El Limon, La","Sobrevivire"
"Arrolladora Banda El Limon, La","Te Ilegara Mi Olvido"
"Arrolladora Banda El Limon, La","Te Metiste En Mi Cama"
"Arrolladora Banda El Limon, La","Un Amor En El Olvido"
"Arrolladora Banda El Limon, La","Y Que Quede Clare"
"Arthur, Davey","When You Were Sweet Sixteen"
"Astros, Los","Por Que No Fui Tu Amigo"
"Augusto, Jose","Candilejas"
"AutÇntica de Jerez","Cachetona y petacona"
"AutÇntica de Jerez","Cachetona y petacona"
"Autentica de Jerez","Cachetona y petacona"
"Autentica de Jerez","Cachetona y petacona"
"Aventura","El malo"
"Aventura","El malo"
"AverySunshine","Ugly Part Of Me"
"AverySunshine","Ugly Part Of Me (MPX)"
"Avilez, Ivon","Piquito De Pollo"
"Avitia, Charro","Bala Perdida"
"Avitia, Charro","Carretera De Ensenada"
"Avitia, Charro","Corrido De Cananea"
"Avitia, Charro","Corrido De Santa Amalia"
"Avitia, Charro","Durango, Durango"
"Avitia, Charro","La Flecha"
"Avitia, Charro","La Martina"
"Avitia, Charro","La Muerte"
"Avitia, Charro","La Mula Bronca"
"Avitia, Charro","Los Camperos"
"Avitia, Charro","Maquina 501"
"Avitia, Charro","Por Una Mujer Casada"
"Ayala, Ramon","Abrigando Tu Tumba"
"Ayala, Ramon","Al Otro Lado Del Porton"
"Ayala, Ramon","Amor Vaquero"
"Ayala, Ramon","Andan Diciendo"
"Ayala, Ramon","Baraja De Oro"
"Ayala, Ramon","Besos Y Caricias"
"Ayala, Ramon","Besos Y Cerezas"
"Ayala, Ramon","Bonita Finca De Adobe"
"Ayala, Ramon","Bonita Finco De Adobe"
"Ayala, Ramon","Casas De Madera"
"Ayala, Ramon","Chaparra De Mi Amor"
"Ayala, Ramon","Chaparra De Mi Amor"
"Ayala, Ramon","Con Las Puertas En La Cara"
"Ayala, Ramon","Cosas"
"Ayala, Ramon","Cruzando Fronteras"
"Ayala, Ramon","Cuando Yo Era Un Jovencito"
"Ayala, Ramon","El Disgusto"
"Ayala, Ramon","El Federal De Caminos"
"Ayala, Ramon","El Tonto Que Te Amo"
"Ayala, Ramon","Ensename A Ovidar"
"Ayala, Ramon","Entierrenme Cantando"
"Ayala, Ramon","Flor Sin Retono"
"Ayala, Ramon","Gaviota"
"Ayala, Ramon","Gerardo Gonzalez"
"Ayala, Ramon","Hasta Que Te Perdi"
"Ayala, Ramon","Hay Que Pegarle A La Mujer"
"Ayala, Ramon","Hay Que Pegarle A La Mujer"
"Ayala, Ramon","Hay Unos Ojos"
"Ayala, Ramon","He Perdido"
"Ayala, Ramon","Juan Ramos"
"Ayala, Ramon","La Nueva Mujer Casada"
"Ayala, Ramon","La Venganza Del Tahur"
"Ayala, Ramon","Me Llega, Me Llega"
"Ayala, Ramon","Me Puso El Dedo"
"Ayala, Ramon","Mi Golondrina"
"Ayala, Ramon","Mis Penas"
"Ayala, Ramon","Mujer Paseada"
"Ayala, Ramon","No Lo Vas A Creer"
"Ayala, Ramon","No Te Vayas Sin Mi"
"Ayala, Ramon","Once Tumbas"
"Ayala, Ramon","Pa' Que Me Sirve La Vida"
"Ayala, Ramon","Pa' Wue Son Pasiones"
"Ayala, Ramon","Para Poder Llegar A Ti"
"Ayala, Ramon","Que Bonita Primavera"
"Ayala, Ramon","Que Casualidad"
"Ayala, Ramon","Que Me Lleve El Diablo"
"Ayala, Ramon","Rama De Mezquite"
"Ayala, Ramon","Rinconcito En El Cielo"
"Ayala, Ramon","Rinconcito En El Cielo"
"Ayala, Ramon","Seis Pies Abajo"
"Ayala, Ramon","Seis Rosas Amarillas"
"Ayala, Ramon","Senor Dios"
"Ayala, Ramon","Sin Sangre En Las Venas"
"Ayala, Ramon","Te Vi Pasar"
"Ayala, Ramon","Tristes Recuerdos"
"Ayala, Ramon","Vestida De Color De Rosa"
"Ayala, Ramon","Vino Maldito"
"Ayala, Ramon & La Leyenda","La Mujer Que Yo Deje"
"Azul, Azul","La Bomba"
"Azules, Angeles","Como Te Voy A Olvidar"
"Azules, Angeles","El Liston De Tu Pelo"
"B.o.B","Ray Bands"
"B.o.B","Ray Bands (MPX)"
"B.o.B","So Good"
"B.o.B","So Good (MPX)"
"B.o.B feat Morgan Freeman","Bombs Away"
"B.o.B feat Morgan Freeman","Bombs Away (MPX)"
"B.o.B. feat. Ryan Tedder","Never Let You Go"
"B.o.B. feat. Ryan Tedder","Never Let You Go (MPX)"
"Baauer","Harlem Shake"
"Baby Ranks & Daddy Yankee & Friends","Mayor Que Yo"
"Baby's","Trangulo"
"Baby's, Los","Por Que"
"Babys, Los","Como un duende"
"Bacilos","Ay, Gaviota"
"Bacilos","Pasos De Gigante"
"Bacilos, Los","Cara Luna"
"Bacilos, Los","Mi Primer Millon"
"Backstreet Boys, The","As Long As You Love Me"
"Backstreet Boys, The","Everybody (Backstreet's Back)"
"Backstreet Boys, The","I'll Never Break Your Heart"
"Backstreet Boys, The","Nunca Te Hare Lorar"
"Backstreet Boys, The","Quit Playing Games (With My Heart)"
"Ballesteros","Cantar En Tu Boca"
"Bambino, Hector, El","Esta Noche De Travesura"
"Banda Blanca","Sopa de caracol"
"Banda Carnaval","El mentiroso"
"Banda Carnaval","Ya me sirvio de experiencia"
"Banda Cuisillos","Detente"
"Banda Cuisillos","Vanidosa"
"Banda Cuisillos","Ya No Me Mires Asi"
"Banda El Limon","Comparame"
"Banda El Limon","Disponible para mi"
"Banda El Limon","Disponible para mi"
"Banda El Limon","Mi media naranja"
"Banda El Limon","Redondito en tus brazos"
"Banda El Limon","Redondito en tus brazos"
"Banda El Limon","Y que quede claro"
"Banda El Limon","Y que quede claro"
"Banda El Mexicano","No Bailes De Caballito"
"Banda El Recodo","Aca entre nos"
"Banda El Recodo","Aca entre nos"
"Banda El Recodo","Cada Vez Te Extramo Mas"
"Banda El Recodo","Como Pudiste"
"Banda El Recodo","Deja"
"Banda El Recodo","El callejero"
"Banda El Recodo","El callejero"
"Banda El Recodo","El Club De Las Feas"
"Banda El Recodo","Entre dos almas"
"Banda El Recodo","Entre dos almas"
"Banda El Recodo","Hay Amor"
"Banda El Recodo","La mejor de todas"
"Banda El Recodo","Lo Mejor De Mi Vida"
"Banda El Recodo","Mujeres Divinas"
"Banda El Recodo","No Me Dejes Nunca, Nunca"
"Banda El Recodo","No Me Se Rajar"
"Banda El Recodo","Parece Mentira"
"Banda El Recodo","Pena Tras Pena"
"Banda El Recodo","Que Mas Quisiera"
"Banda El Recodo","Quiero Que Sepas"
"Banda El Recodo","Te Ofrezco Un Corazon"
"Banda El recodo","Una pura y dos con sal"
"Banda El Recodo","Y Llegaste Tu"
"Banda El Recodo","Yo Se Que Te Acordaras"
"Banda El Recodo","Yo Tengo Una Ilusion"
"Banda Jade","No hay duda (con voz)"
"Banda Jade","No hay duda (con voz)"
"Banda Jade","No hay duda (Sin voz)"
"Banda Jade","No hay duda (Sin voz)"
"Banda Jerez","La baraja"
"Banda Jerez","La baraja - Editada"
"Banda Jerez","La cabrona"
"Banda Jerez","Me voy a embriagar"
"Banda Jerez","Por una Lagrima"
"Banda Jerez","Por una Lagrima"
"Banda Jerez","Probemos"
"Banda Jerez","Que wey soy"
"Banda Los Recoditos","En resumen"
"Banda Machos","Al gato y al raton"
"Banda Machos","La Culebra"
"Banda Machos","Un indio quiere llorar"
"Banda Maguey","Historia Sin Fin"
"Banda MS","Amor express"
"Banda MS","Amor Express"
"Banda MS","Aqui te esperare"
"Banda MS","Cahuates pistaches"
"Banda MS","De ti enamorado"
"Banda MS","El mechon"
"Banda MS","El mechon"
"Banda MS","El mechon"
"Banda MS","El patron"
"Banda MS","Increible"
"Banda MS","Me toca a mi"
"Banda MS","Me toca a mi"
"Banda MS","Mi mayor anhelo"
"Banda MS","Mi olvido"
"Banda MS","Mi olvido"
"Banda MS","Sin evidencias"
"Banda MS","Te equivocas"
"Banda MS","Todo se termina"
"Banda Pequenos Musical","Animas que no amanezca"
"Banda San Jose de Mesillas","Se te esta acabando el tiempo"
"Banda Sinalonse MS","Te equivocas"
"Banda Sinalonse MS","Te equivocas"
"Bang Bang","Sinatra, Nancy"
"Bárbara Muñoz","Mienteme"
"Barbara, Ana","Lo Busque"
"Barbara, Ana","Nada"
"Barbara, Ana","No Llorare"
"Barbara, Ana","No Se Que Voy A Hacer"
"Barbaros","Pecado Mortal"
"Baron De Apodaca","Aunque mal paguen ellas"
"Baron De Apodaca","Ayer estuve con mi nuevo amor"
"Baron De Apodaca","Carino santo"
"Baron De Apodaca","Cielo rojo"
"Baron De Apodaca","Como dios manda"
"Baron De Apodaca","Mujeres divinas"
"Baron De Apodaca","Pa'que sientas lo que siento"
"Baron De Apodaca","Por que volviste a mi"
"Baron De Apodaca","Prieta consentida"
"Baron De Apodaca","Te vengo a buscar"
"Baron De Apodaca","Urge"
"Baron De Apodaca","Y por esa calle vive"
"Beatriz Adriana","El Cofrecito"
"Bebe","Malo"
"Bebeto","Quiero que seas tu"
"Bebeto, El","Eres mi necesidad"
"Bebeto, El","Eres mi necesidad"
"Bebeto, El","Lo legal"
"Belanova","Baila mi corazon"
"Belanova","Baila Mi Corazon"
"Belanova","Cada que"
"Belanova","Cada Que"
"Belanova","Eres tu"
"Belanova","Me pregunto"
"Belanova","Me Pregunto"
"Belanova","Nada de mas"
"Belanova","Nada de mas"
"Belanova","Nada de mas"
"Belanova","Niño"
"Belanova","Nino"
"Belanova","No me voy a morir"
"Belanova","No me voy a morir"
"Belanova","No me voy a morir"
"Belanova","One, two, three, go"
"Belanova","Paso el tiempo"
"Belanova","Por ti"
"Belanova","Por ti"
"Belanova","Rosa pastel"
"Belen, Ana & Victor Manuel","La Puerta De Alcala"
"Belinda","Alguien mas"
"Belinda","Angel"
"Belinda","Bella Traicion"
"Belinda","En el amor hay que perdonar"
"Belinda","Lo Siento"
"Belinda","Luz Sin Gravedad"
"Belinda","Ni Freud Ni Tu Mama"
"Belinda","vivir"
"Belinda","Vivir"
"Beltran, Lola","A Los Cuatro Vientos"
"Beltran, Lola","Albur De Amor"
